year,name,id,title,producer,film_date,address_street,address_number
2011,Cine Publicitario,1490,Dolca Promo,Huinca Cine S.A,2011-08-05,ESPAÑA AV.,1901
2011,Cine Publicitario,1491,Personal Cuestionario,MONTECARLO FILMS S.R.L,2011-08-06,BRANDSEN,37
2011,Cine Publicitario,1492,Dolca Promo,Huinca Cine S.A,2011-08-05,ZAPIOLA,334
2011,Cine Publicitario,1493,Dolca Promo,Huinca Cine S.A,2011-08-05,MENDOZA,4039
2011,Cine Publicitario,1494,Personal Cuestionario,MONTECARLO FILMS S.R.L,2011-08-06,PASEO COLON AV.,301
2011,Cine Publicitario,1495,Personal Cuestionario,MONTECARLO FILMS S.R.L,2011-08-06,CHILE AV.,159
2011,Cine Publicitario,1496,Personal Cuestionario,MONTECARLO FILMS S.R.L,2011-08-06,"ACHAVAL RODRIGUEZ, T., DR. AV.",1255
2011,Cine Publicitario,1497,Hollywood,PRIMO AUDIOVISUAL SRL,2011-08-05,"SAENZ PEÑA, ROQUE, PRES. AV.",616
2011,Cine Publicitario,1498,GRAN DT,AWARDS CINE S.R.L,2011-08-06,25 DE MAYO,650
2011,Cine Publicitario,1499,desinchate con Activia,Juan Pablo Martinez,2011-08-07,JUFRE,1074
2011,Cine Publicitario,1500,Freezer,Rebolucion SA,2011-08-08,AREVALO,2088
2011,Cine Publicitario,1501,Baileys II,Nube Pictures SRL,2011-08-09,HONDURAS,5255
2011,Cine Publicitario,1502,Arnet Turbo Sopletador 2,Oruga Films S.A.,2011-08-09,THAMES,1226
2011,Cine Publicitario,1503,Arnet Turbo Sopletador 2,Oruga Films S.A.,2011-08-09,WASHINGTON,2155
2011,Cine Publicitario,1504,Arnet Turbo Sopletador 2,Oruga Films S.A.,2011-08-09,"RAVIGNANI, EMILIO, Dr.",1901
2011,Cine Publicitario,459,Credit Agricole,Jacaranda Films S.A.,2011-02-02,TRES SARGENTOS,319
2011,Cine Publicitario,1506,gaucho,AGUIRREFILMS SRL,2011-08-10,INCLAN,2541
2011,Cine Publicitario,1507,mercedes benz,el santuario srl,2011-08-10,"ACHAVAL RODRIGUEZ, T., DR. AV.",1301
2011,Cine Publicitario,1508,HILERET,Grupo Audiovisual Meridiano Argentina SA,2011-08-11,ZAPIOLA,334
2011,Cine Publicitario,460,PEPSI,Filmservice Production S.A.,2011-02-02,CRUCERO GRAL. BELGRANO,1209
2011,Cine Publicitario,1510,belvita,14 al centro S.A,2011-08-12,SARMIENTO AV.,3902
2011,Cine Publicitario,461,AIRFRANCE,peluca internacional s.a.,2011-02-09,CRUCERO GRAL. BELGRANO,1229
2011,Cine Publicitario,462,PMU,Pioneras Producciones SA ,2011-02-05,"MITRE, BARTOLOME",850
2011,Cine Publicitario,463,PMU,Pioneras Producciones SA ,2011-02-05,SARMIENTO,1325
2011,Cine Publicitario,1514,Cartoon -,Landia SRL,2011-08-15,LOYOLA,625
2011,Cine Publicitario,464,IPOTECA SBERBANK,MATILDA FILMS SA,2011-02-05,LIBERTAD,1212
2011,Cine Publicitario,465,TKMAXX,Altana Films S.A.,2011-02-12,"ALSINA, ADOLFO",1867
2011,Cine Publicitario,1517,INVENTOS,48M2 S.A.,2011-08-19,LLERENA,2437
2011,Cine Publicitario,1518,INVENTOS,48M2 S.A.,2011-08-20,TRONADOR,671
2011,Cine Publicitario,1519,INVENTOS,48M2 S.A.,2011-08-20,GODOY CRUZ,2345
2011,Cine Publicitario,1520,AMIGOS,Folk Cine SA,2011-08-22,RIESTRA AV.,6300
2011,Cine Publicitario,1521,AMIGOS,Folk Cine SA,2011-08-22,DEFENSA,1285
2011,Cine Publicitario,1522,AMIGOS,Folk Cine SA,2011-08-22,MOZART,2250
2011,Cine Publicitario,1523,AMIGOS,Folk Cine SA,2011-08-17,REGIMIENTO DE PATRICIOS AV.,637
2011,Cine Publicitario,1524,AMIGOS,Folk Cine SA,2011-08-17,"ZOLA, EMILIO",5185
2011,Cine Publicitario,1525,DELL,Nube Pictures SRL,2011-08-18,20 DE SETIEMBRE,100
2011,Cine Publicitario,1526,DELL,Nube Pictures SRL,2011-08-18,HONDURAS,4901
2011,Cine Publicitario,1527,DELL,Nube Pictures SRL,2011-08-18,COCHABAMBA,201
2011,Cine Publicitario,1528,Todo Igual,Oruga Films S.A.,2011-08-20,DE MAYO AV.,1100
2011,Cine Publicitario,1529,Todo Igual,Oruga Films S.A.,2011-08-27,VIAMONTE,101
2011,Cine Publicitario,1530,CIEL,Landia SRL,2011-08-20,TACUARI,477
2011,Cine Publicitario,1531,Todo Igual,Oruga Films S.A.,2011-08-20,BOUCHARD,501
2011,Cine Publicitario,1532,CONVOCATORIA Y MANIFIESTO,FIGHT BY FLEHNER S.A.,2011-08-20,GUIDO,2600
2011,Cine Publicitario,1533,Todo Igual,Oruga Films S.A.,2011-08-20,CORRIENTES AV.,300
2011,Cine Publicitario,1534,CONVOCATORIA Y MANIFIESTO,FIGHT BY FLEHNER S.A.,2011-08-20,"BUSCHIAZZO, JUAN A.",3100
2011,Cine Publicitario,1535,MCDONALDS,Onyx Films SA,2011-08-21,ALVEAR AV.,1301
2011,Cine Publicitario,1536,MCDONALDS,Onyx Films SA,2011-08-21,CRUCERO GRAL. BELGRANO,1201
2011,Cine Publicitario,1537,Musimundo,I-REAL SRL,2011-08-23,"MAGARIÑOS CERVANTES, A.",1925
2011,Cine Publicitario,466,TKMAXX,Altana Films S.A.,2011-02-13,25 DE MAYO,701
2011,Cine Publicitario,467,CLARIN- GRAN DT,Pank SRL,2011-02-10,REPUBLICA DEL LIBANO,0
2011,Cine Publicitario,468,TKMAXX,Altana Films S.A.,2011-02-13,"SAENZ PEÑA, ROQUE, PRES. AV.",721
2011,Cine Publicitario,1541,PATY,Cru Films SRL,2011-08-23,SARMIENTO AV.,4201
2011,Cine Publicitario,11,THE CLEANER,48M2 S.A.,2011-01-12,CASTILLO,1709
2011,Cine Publicitario,12,THE CLEANER,48M2 S.A.,2011-01-08,CORRIENTES AV.,685
2011,Cine Publicitario,13,THE CLEANER,48M2 S.A.,2011-01-14,JUFRE,1074
2011,Cine Publicitario,14,THE CLEANER,48M2 S.A.,2011-01-07,CHORROARIN AV.,1002
2011,Cine Publicitario,15,BUSH'S BEANS ,48M2 S.A.,2011-01-19,TRONADOR,671
2011,Cine Publicitario,16,YOGURISIMO,AGUIRREFILMS SRL,2011-01-24,SUPERI,2165
2011,Cine Publicitario,17,RENAULT,Altana Films S.A.,2011-01-11,SUIPACHA,384
2011,Cine Publicitario,18,RENAULT,Altana Films S.A.,2011-01-09,DE LOS ITALIANOS AV.,0
2011,Cine Publicitario,19,RENAULT,Altana Films S.A.,2011-01-10,SUIPACHA,384
2011,Cine Publicitario,20,santader rio,AWARDS CINE S.R.L,2011-01-21,ARMENIA,1471
2011,Cine Publicitario,21,santader rio,AWARDS CINE S.R.L,2011-01-21,PERU,1370
2011,Cine Publicitario,22,Magnetismo,AWARDS CINE S.R.L,2011-01-27,"CALVO, CARLOS",375
2011,Cine Publicitario,23,NATURA,BANANA PRODUCCIONES SA,2011-01-11,"ZOLA, EMILIO",5101
2011,Cine Publicitario,482,SOCIETE GENERALE,PRODUCCIONES SVB S.A.,2011-02-08,SARMIENTO,2233
